## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
1011,10-Day Green Smoothie Cleanse,Non Fiction,JJ Smith,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,8,2016,1,,,,,,,,,,,,
1012,11/22/63: A Novel,Fiction,Stephen King,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,22,2011,1,,,,,,,,,,,,
1013,12 Rules for Life: An Antidote to Chaos,Non Fiction,Jordan B. Peterson,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,15,2018,1,,,,,,,,,,,,
1014,1984 (Signet Classics),Fiction,George Orwell,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,6,2017,1,,,,,,,,,,,,
1015,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",Non Fiction,National Geographic Kids,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,12,2019,1,,,,,,,,,,,,
1016,A Dance with Dragons (A Song of Ice and Fire),Fiction,George R. R. Martin,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,11,2011,1,,,,,,,,,,,,
1017,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,Fiction,George R. R. Martin,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,30,2014,1,,,,,,,,,,,,
1018,A Gentleman in Moscow: A Novel,Fiction,Amor Towles,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,15,2017,1,,,,,,,,,,,,
1019,"A Higher Loyalty: Truth, Lies, and Leadership",Non Fiction,James Comey,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,3,2018,1,,,,,,,,,,,,
1020,A Man Called Ove: A Novel,Fiction,Fredrik Backman,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,8,2016,1,,,,,,,,,,,,
1021,A Man Called Ove: A Novel,Fiction,Fredrik Backman,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,8,2017,1,,,,,,,,,,,,
1022,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Non Fiction,Larry Schweikart,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,2,2010,1,,,,,,,,,,,,
1023,A Stolen Life: A Memoir,Non Fiction,Jaycee Dugard,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,32,2011,1,,,,,,,,,,,,
1024,A Wrinkle in Time (Time Quintet),Fiction,Madeleine L'Engle,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,5,2018,1,,,,,,,,,,,,
1025,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Non Fiction,Steve Harvey,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,17,2009,1,,,,,,,,,,,,
1026,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Non Fiction,Adult Coloring Book Designs,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,4,2016,1,,,,,,,,,,,,
1027,Adult Coloring Book: Stress Relieving Animal Designs,Non Fiction,Blue Star Coloring,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,6,2015,1,,,,,,,,,,,,
1028,Adult Coloring Book: Stress Relieving Patterns,Non Fiction,Blue Star Coloring,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,6,2015,1,,,,,,,,,,,,
1029,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Non Fiction,Coloring Books for Adults,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,8,2015,1,,,,,,,,,,,,
1030,Alexander Hamilton,Non Fiction,Ron Chernow,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,13,2016,1,,,,,,,,,,,,
